Seq,Level,COBOLFieldName,GroupPath,PICClause,Usage,ByteLength,DecimalDigits,Signed,StartOffset,EndOffset,DefaultValue,88LevelConditions,ProposedCSharpType,FieldKind,Confidence,Notes
106,15,OMGPR-SKU-CODE-MI,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(04),DISPLAY,4,,N,278,281,SPACE,,string,Leaf,CONFIRMED,
107,15,OMGPR-BILLING-FRQ-MI,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(02),DISPLAY,2,,N,282,283,SPACE,OMGPR-DAILY-BILL-MI='DL'; OMGPR-MONTHLY-AUTO-BILL-MI='MA'; OMGPR-MONTHLY-MANUAL-BILL-MI='MM',string,Leaf+88,CONFIRMED,
108,15,OMGPR-FEE-SHRT-CODE-MN,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(02),DISPLAY,2,,N,284,285,SPACE,,string,Leaf,CONFIRMED,
109,15,OMGPR-SKU-CODE-MN,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(04),DISPLAY,4,,N,286,289,SPACE,,string,Leaf,CONFIRMED,
110,15,OMGPR-BILLING-FRQ-MN,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(02),DISPLAY,2,,N,290,291,SPACE,OMGPR-DAILY-BILL-MN='DL'; OMGPR-MONTHLY-AUTO-BILL-MN='MA'; OMGPR-MONTHLY-MANUAL-BILL-MN='MM',string,Leaf+88,CONFIRMED,
111,15,OMGPR-FEE-SHRT-CODE-MC,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(02),DISPLAY,2,,N,292,293,SPACE,,string,Leaf,CONFIRMED,
112,15,OMGPR-SKU-CODE-MC,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(04),DISPLAY,4,,N,294,297,SPACE,,string,Leaf,CONFIRMED,
113,15,OMGPR-BILLING-FRQ-MC,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(02),DISPLAY,2,,N,298,299,SPACE,OMGPR-DAILY-BILL-MC='DL'; OMGPR-MONTHLY-AUTO-BILL-MC='MA'; OMGPR-MONTHLY-MANUAL-BILL-MC='MM',string,Leaf+88,CONFIRMED,
114,15,FILLER,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(09),DISPLAY,9,,N,300,308,SPACES,,string,Leaf,CONFIRMED,Reserved/unused space; not consumed by any program logic in upload/.
115,10,OMGPR-PRC-OUTPUT-FIELDS,OMGPR > OMGPR-C,,,,,,,,,,,Group,CONFIRMED,
116,15,OMGPR-ERROR-FIELDS,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS,,,,,,,,,,,Group,CONFIRMED,
117,20,OMGPR-F-PRICER-ERROR,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-ERROR-FIELDS,X(1),DISPLAY,1,,N,309,309,SPACE,OMGPR-PRICER-ERROR='Y',string,Leaf+88,CONFIRMED,
118,20,OMGPR-ERROR-MESSAGE,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-ERROR-FIELDS,X(76),DISPLAY,76,,N,310,385,SPACE,,string,Leaf,CONFIRMED,
119,15,OMGPR-PRODUCT-DATA,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS,,,,,,,,,,,Group,CONFIRMED,
120,20,OMGPR-C-VND-PROD-BASE-UM,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-PRODUCT-DATA,X(2),DISPLAY,2,,N,386,387,SPACE,,string,Leaf,CONFIRMED,
121,20,OMGPR-A-VD-PRD-ALT-UMF,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-PRODUCT-DATA,S9(6)V9(8),COMP-3,8,8,Y,388,395,ZERO,,decimal,Leaf,CONFIRMED,
122,20,OMGPR-S-PROD-CATEGORY,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-PRODUCT-DATA,S9(8),COMP,4,,Y,396,399,ZERO,,int,Leaf,CONFIRMED,
123,20,OMGPR-C-INV-CLASS,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-PRODUCT-DATA,X(1),DISPLAY,1,,N,400,400,SPACE,,string,Leaf,CONFIRMED,
124,20,OMGPR-C-CUSTOM-IND,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-PRODUCT-DATA,X(01),DISPLAY,1,,N,401,401,SPACE,,string,Leaf,CONFIRMED,
125,20,OMGPR-C-PRIVATE-LBL,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-PRODUCT-DATA,X(01),DISPLAY,1,,N,402,402,SPACE,,string,Leaf,CONFIRMED,
126,20,OMGPR-C-SUPPLIER-NAME,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-PRODUCT-DATA,X(35),DISPLAY,35,,N,403,437,SPACE,,string,Leaf,CONFIRMED,
127,20,OMGPR-C-SUPPLIER-NUMBER,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-PRODUCT-DATA,X(04),DISPLAY,4,,N,438,441,SPACE,,string,Leaf,CONFIRMED,
128,20,OMGPR-C-VND-PROD-DESC-1,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-PRODUCT-DATA,X(35),DISPLAY,35,,N,442,476,SPACE,,string,Leaf,CONFIRMED,
129,20,OMGPR-C-VND-PROD-DESC-2,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-PRODUCT-DATA,X(35),DISPLAY,35,,N,477,511,SPACE,,string,Leaf,CONFIRMED,
130,20,OMGPR-C-VND-CATALOG-NBR,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-PRODUCT-DATA,X(12),DISPLAY,12,,N,512,523,SPACE,,string,Leaf,CONFIRMED,
131,15,OMGPR-COST-CONT-DATA,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS,,,,,,,,,,,Group,CONFIRMED,
132,20,OMGPR-I-CONTRACT,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,S9(8),COMP,4,,Y,524,527,ZERO,,int,Leaf,CONFIRMED,
133,20,OMGPR-C-CNT-ENTRY-METHOD,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,X(2),DISPLAY,2,,N,528,529,SPACE,OMGPR-CNT-ENTRY-COST-DISC='07'; OMGPR-CNT-ENTRY-FIXED-REB='06'; OMGPR-CNT-ENTRY-SS-BROKER='02'; OMGPR-CNT-ENTRY-SS-COST-D='05'; OMGPR-CNT-ENTRY-SS-COST-P='03'; OMGPR-CNT-ENTRY-SS-STATED='04'; OMGPR-CNT-ENTRY-STATED-CO='01',string,Leaf+88,CONFIRMED,
134,20,OMGPR-D-CNT-PROT-START,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,X(10),DISPLAY,10,,N,530,539,SPACE,,string,Leaf,CONFIRMED,
135,20,OMGPR-D-CNT-PROT-END,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,X(10),DISPLAY,10,,N,540,549,SPACE,,string,Leaf,CONFIRMED,
136,20,OMGPR-T-COMMENT,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,X(35),DISPLAY,35,,N,550,584,SPACE,,string,Leaf,CONFIRMED,
137,20,OMGPR-I-CNT-VEND,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,X(20),DISPLAY,20,,N,585,604,SPACE,,string,Leaf,CONFIRMED,
138,20,OMGPR-I-BUY-GROUP,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,S9(8),COMP,4,,Y,605,608,ZERO,,int,Leaf,CONFIRMED,
139,20,OMGPR-S-BG-MEMBER,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,S9(8),COMP,4,,Y,609,612,ZERO,,int,Leaf,CONFIRMED,
140,20,OMGPR-N-BUY-GROUP-SHORT,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,X(8),DISPLAY,8,,N,613,620,SPACE,,string,Leaf,CONFIRMED,
141,20,OMGPR-F-GRP-CNT-FEES,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,X(1),DISPLAY,1,,N,621,621,SPACE,,string,Leaf,CONFIRMED,
142,20,OMGPR-C-BG-TYPE,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,X(1),DISPLAY,1,,N,622,622,SPACE,,string,Leaf,CONFIRMED,
143,20,OMGPR-C-PROD-CATGRY,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,X(35),DISPLAY,35,,N,623,657,SPACE,,string,Leaf,CONFIRMED,
144,20,OMGPR-C-REPLACES-CNT,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,X(20),DISPLAY,20,,N,658,677,SPACE,,string,Leaf,CONFIRMED,
145,20,OMGPR-D-RCVD-DATE,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,X(10),DISPLAY,10,,N,678,687,SPACE,,string,Leaf,CONFIRMED,
146,20,OMGPR-C-EXPIRE-MSG,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,X(35),DISPLAY,35,,N,688,722,SPACE,,string,Leaf,CONFIRMED,
147,20,OMGPR-C-TIER,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,X(03),DISPLAY,3,,N,723,725,SPACE,,string,Leaf,CONFIRMED,
148,20,OMGPR-C-REPLACED-BY-CNT,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,X(20),DISPLAY,20,,N,726,745,SPACE,,string,Leaf,CONFIRMED,
149,20,OMGPR-I-RPT-GRP,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,S9(8),COMP,4,,Y,746,749,ZERO,,int,Leaf,CONFIRMED,
150,20,OMGPR-I-RPT-GRP-CNT,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,X(20),DISPLAY,20,,N,750,769,SPACE,,string,Leaf,CONFIRMED,
151,20,OMGPR-L-CNT-LINE,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,S9(7),COMP,4,,Y,770,773,ZERO,,int,Leaf,INFERRED,7-digit PIC S9(7) COMP: byte length shown uses mainframe fullword sizing (4 bytes). A native/minimal binary sizing convention (e.g. Micro Focus COMP) would give 3 bytes instead. Compiler/platform not confirmed from the copybook alone -- see data dictionary notes.
152,20,OMGPR-C-CNT-LN-UM,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,X(2),DISPLAY,2,,N,774,775,SPACE,,string,Leaf,CONFIRMED,
153,20,OMGPR-A-CNT-LN-UNIT-COST,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,S9(5)V9(8),COMP-3,7,8,Y,776,782,ZERO,,decimal,Leaf,CONFIRMED,
154,20,OMGPR-A-CNT-LN-SUGG-SELL,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,S9(5)V9(8),COMP-3,7,8,Y,783,789,ZERO,,decimal,Leaf,CONFIRMED,
155,20,OMGPR-P-CNT-LN-COST-PLUS,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,S9(1)V9(4),COMP-3,3,4,Y,790,792,ZERO,,decimal,Leaf,CONFIRMED,
156,20,OMGPR-P-CNT-LN-COST-DISC,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,S9(1)V9(4),COMP-3,3,4,Y,793,795,ZERO,,decimal,Leaf,CONFIRMED,
157,20,OMGPR-P-CNT-LN-BROKER,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,S9(1)V9(4),COMP-3,3,4,Y,796,798,ZERO,,decimal,Leaf,CONFIRMED,
158,20,OMGPR-P-CNT-LN-ACQ-MKD,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,S9(1)V9(4),COMP-3,3,4,Y,799,801,ZERO,,decimal,Leaf,CONFIRMED,
159,20,OMGPR-A-CNT-LN-PROT-ACQ,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,S9(5)V9(8),COMP-3,7,8,Y,802,808,ZERO,,decimal,Leaf,CONFIRMED,
160,20,OMGPR-A-CNT-LN-MAX-REBT,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,S9(5)V9(8),COMP-3,7,8,Y,809,815,ZERO,,decimal,Leaf,CONFIRMED,
161,20,OMGPR-C-CNT-TYPE,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-CONT-DATA,X(1),DISPLAY,1,,N,816,816,SPACE,,string,Leaf,CONFIRMED,
162,15,OMGPR-PRICE-LIST-DATA,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS,,,,,,,,,,,Group,CONFIRMED,
163,20,OMGPR-C-VND-PRC-LEVEL,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-PRICE-LIST-DATA,X(2),DISPLAY,2,,N,817,818,SPACE,,string,Leaf,CONFIRMED,
164,20,OMGPR-D-VND-PRC-LIST-EFF,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-PRICE-LIST-DATA,X(10),DISPLAY,10,,N,819,828,SPACE,,string,Leaf,CONFIRMED,
165,20,OMGPR-C-VND-PRC-UM,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-PRICE-LIST-DATA,X(2),DISPLAY,2,,N,829,830,SPACE,,string,Leaf,CONFIRMED,
166,20,OMGPR-A-VND-PRC-DEALER,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-PRICE-LIST-DATA,S9(7)V9(8),COMP-3,8,8,Y,831,838,ZERO,,decimal,Leaf,CONFIRMED,
167,20,OMGPR-A-VND-PRC-ACQ-COST,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-PRICE-LIST-DATA,S9(7)V9(8),COMP-3,8,8,Y,839,846,ZERO,,decimal,Leaf,CONFIRMED,
168,20,OMGPR-A-VND-PRC-BEST-QTY,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-PRICE-LIST-DATA,S9(7)V9(8),COMP-3,8,8,Y,847,854,ZERO,,decimal,Leaf,CONFIRMED,
169,20,OMGPR-A-VND-PRC-LST-HOSP,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-PRICE-LIST-DATA,S9(7)V9(8),COMP-3,8,8,Y,855,862,ZERO,,decimal,Leaf,CONFIRMED,
170,20,OMGPR-A-VND-PRC-LST-DOC,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-PRICE-LIST-DATA,S9(7)V9(8),COMP-3,8,8,Y,863,870,ZERO,,decimal,Leaf,CONFIRMED,
171,20,OMGPR-F-VEND-BST-CST-RBT,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-PRICE-LIST-DATA,X(1),DISPLAY,1,,N,871,871,SPACE,,string,Leaf,CONFIRMED,
172,20,OMGPR-F-VEND-NET-CST-RBT,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-PRICE-LIST-DATA,X(1),DISPLAY,1,,N,872,872,SPACE,,string,Leaf,CONFIRMED,
173,15,OMGPR-UNIT-REB-AMOUNT,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS,,,,,,,,,,,Group,CONFIRMED,
174,20,OMGPR-A-CUR-SELL-CST-DIF,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-UNIT-REB-AMOUNT,S9(5)V9(4),COMP-3,5,4,Y,873,877,ZERO,,decimal,Leaf,CONFIRMED,
175,20,OMGPR-A-CUR-VND-DIST-REB,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-UNIT-REB-AMOUNT,S9(5)V9(4),COMP-3,5,4,Y,878,882,ZERO,,decimal,Leaf,CONFIRMED,
176,20,OMGPR-A-CUR-TOTAL-REBATE,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-UNIT-REB-AMOUNT,S9(5)V9(4),COMP-3,5,4,Y,883,887,ZERO,,decimal,Leaf,CONFIRMED,
177,20,OMGPR-A-CUR-ADD-DISC-REB,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-UNIT-REB-AMOUNT,S9(5)V9(4),COMP-3,5,4,Y,888,892,ZERO,,decimal,Leaf,CONFIRMED,
178,20,OMGPR-A-CUR-PRICE-PROT,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-UNIT-REB-AMOUNT,S9(5)V9(4),COMP-3,5,4,Y,893,897,ZERO,,decimal,Leaf,CONFIRMED,
179,20,OMGPR-A-CUR-CONT-REBATE,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-UNIT-REB-AMOUNT,S9(5)V9(4),COMP-3,5,4,Y,898,902,ZERO,,decimal,Leaf,CONFIRMED,
180,20,OMGPR-A-REBATE-COST,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-UNIT-REB-AMOUNT,S9(5)V9(4),COMP-3,5,4,Y,903,907,ZERO,,decimal,Leaf,CONFIRMED,
181,15,OMGPR-UNIT-SELL-AMT,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS,,,,,,,,,,,Group,CONFIRMED,
182,20,OMGPR-C-CUS-SELL-PRC-UOM,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-UNIT-SELL-AMT,X(2),DISPLAY,2,,N,908,909,SPACE,,string,Leaf,CONFIRMED,
183,20,OMGPR-A-CUS-UOM-SELL-PRC,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-UNIT-SELL-AMT,S9(5)V9(8),COMP-3,7,8,Y,910,916,ZERO,,decimal,Leaf,CONFIRMED,
184,20,OMGPR-A-TOTAL-COST,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-UNIT-SELL-AMT,S9(5)V9(8),COMP-3,7,8,Y,917,923,ZERO,,decimal,Leaf,CONFIRMED,
185,20,OMGPR-A-TOTAL-SELL,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-UNIT-SELL-AMT,S9(5)V9(8),COMP-3,7,8,Y,924,930,ZERO,,decimal,Leaf,CONFIRMED,
186,20,OMGPR-A-TOTAL-ADJ-COST,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-UNIT-SELL-AMT,S9(5)V9(8),COMP-3,7,8,Y,931,937,ZERO,,decimal,Leaf,CONFIRMED,
187,20,OMGPR-A-TOTAL-ADJ-SELL,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-UNIT-SELL-AMT,S9(5)V9(8),COMP-3,7,8,Y,938,944,ZERO,,decimal,Leaf,CONFIRMED,
188,15,OMGPR-SELL-ARR,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS,,,,,,,,,,,Group,CONFIRMED,
189,20,OMGPR-I-BAS-SELL,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-SELL-ARR,S9(8),COMP,4,,Y,945,948,ZERO,,int,Leaf,CONFIRMED,
190,20,OMGPR-D-BAS-SELL-EFF,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-SELL-ARR,X(10),DISPLAY,10,,N,949,958,SPACE,,string,Leaf,CONFIRMED,
191,20,OMGPR-PRICING-METHOD,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-SELL-ARR,X(10),DISPLAY,10,,N,959,968,SPACE,,string,Leaf,CONFIRMED,
192,20,OMGPR-PRICING-PERCENTAGE,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-SELL-ARR,9(1)V9(4),COMP-3,3,4,N,969,971,ZERO,,decimal,Leaf,CONFIRMED,
193,20,OMGPR-C-SELL-PRC-METHOD,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-SELL-ARR,X(1),DISPLAY,1,,N,972,972,SPACE,,string,Leaf,CONFIRMED,
194,20,OMGPR-T-SELL-COMMENT,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-SELL-ARR,X(35),DISPLAY,35,,N,973,1007,SPACE,,string,Leaf,CONFIRMED,
195,20,OMGPR-Q-PREF-TIER-LEVEL,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-SELL-ARR,S9(4),COMP,2,,Y,1008,1009,ZERO,,int,Leaf,CONFIRMED,
196,20,OMGPR-C-SELL-TYPE,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-SELL-ARR,X(1),DISPLAY,1,,N,1010,1010,SPACE,,string,Leaf,CONFIRMED,
197,20,OMGPR-C-SELL-LEVEL,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-SELL-ARR,X(1),DISPLAY,1,,N,1011,1011,SPACE,,string,Leaf,CONFIRMED,
198,20,OMGPR-I-BUY-GROUP-SELL,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-SELL-ARR,S9(8),COMP,4,,Y,1012,1015,ZERO,,int,Leaf,CONFIRMED,
199,20,OMGPR-S-BG-MEMBER-SELL,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-SELL-ARR,S9(8),COMP,4,,Y,1016,1019,ZERO,,int,Leaf,CONFIRMED,
200,20,OMGPR-N-BUY-GROUP-SHORT-SELL,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-SELL-ARR,X(8),DISPLAY,8,,N,1020,1027,SPACE,,string,Leaf,CONFIRMED,
201,20,OMGPR-C-BG-TYPE-SELL,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-SELL-ARR,X(1),DISPLAY,1,,N,1028,1028,SPACE,,string,Leaf,CONFIRMED,
202,20,OMGPR-C-SELLGROUP-INFO,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-SELL-ARR,X(19),DISPLAY,19,,N,1029,1047,SPACE,,string,Leaf,CONFIRMED,
203,15,OMGPR-COST-ADJUSTMENTS,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS,,,,,,,,,,,Group,CONFIRMED,
204,20,OMGPR-A-OVERHEAD-CHG,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-ADJUSTMENTS,S9(7)V9(8),COMP-3,8,8,Y,1048,1055,ZERO,,decimal,Leaf,CONFIRMED,
205,20,OMGPR-P-OVERHEAD-CHG,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-ADJUSTMENTS,S9(1)V9(4),COMP-3,3,4,Y,1056,1058,ZERO,,decimal,Leaf,CONFIRMED,
206,20,OMGPR-A-CUST-INV-CLASS-CT,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-ADJUSTMENTS,S9(7)V9(8),COMP-3,8,8,Y,1059,1066,ZERO,,decimal,Leaf,CONFIRMED,
207,20,OMGPR-P-CUST-INV-CLASS-CT,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-ADJUSTMENTS,S9(1)V9(4),COMP-3,3,4,Y,1067,1069,ZERO,,decimal,Leaf,CONFIRMED,
208,20,OMGPR-C-INV-CLASS-CT,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-ADJUSTMENTS,X(1),DISPLAY,1,,N,1070,1070,SPACE,,string,Leaf,CONFIRMED,
209,20,OMGPR-C-INFRT-TYPE,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-ADJUSTMENTS,X(1),DISPLAY,1,,N,1071,1071,SPACE,,string,Leaf,CONFIRMED,
210,20,OMGPR-I-BUY-GROUP-FRT,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-ADJUSTMENTS,S9(8),COMP,4,,Y,1072,1075,ZERO,,int,Leaf,CONFIRMED,
211,20,OMGPR-A-INFRT,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-ADJUSTMENTS,S9(7)V9(8),COMP-3,8,8,Y,1076,1083,ZERO,,decimal,Leaf,CONFIRMED,
212,20,OMGPR-P-INFRT-BG,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-COST-ADJUSTMENTS,S9(1)V9(4),COMP-3,3,4,Y,1084,1086,ZERO,,decimal,Leaf,CONFIRMED,
213,15,OMGPR-SELL-ADJUSTMENTS,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS,,,,,,,,,,,Group,CONFIRMED,
214,20,OMGPR-A-CUST-INV-CLASS-SL,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-SELL-ADJUSTMENTS,S9(7)V9(8),COMP-3,8,8,Y,1087,1094,ZERO,,decimal,Leaf,CONFIRMED,
215,20,OMGPR-P-CUST-INV-CLASS-SL,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-SELL-ADJUSTMENTS,S9(1)V9(4),COMP-3,3,4,Y,1095,1097,ZERO,,decimal,Leaf,CONFIRMED,
216,20,OMGPR-C-INV-CLASS-SL,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-SELL-ADJUSTMENTS,X(1),DISPLAY,1,,N,1098,1098,SPACE,,string,Leaf,CONFIRMED,
217,20,OMGPR-I-BUY-GROUP-CNT,OMGPR > OMGPR-C > OMGPR-PRC-OUTPUT-FIELDS > OMGPR-SELL-ADJUSTMENTS,S9(8),COMP,4,,Y,1099,1102,ZERO,,int,Leaf,CONFIRMED,
